1,3254
2,1953
3,1518
4,1408
5,1523
6,1403
7,1392
8,1439
9,1351
10,1339
11,1331
12,1314
13,1368
14,1207
15,1314
16,1275
17,1213
18,1084
19,1284
20,1211
21,1093
22,1213
23,1248
24,1267
25,1308
26,1008
27,1174
28,1135
29,1121
30,1141
31,1074
32,1134
33,1025
34,1177
35,1018
36,987
37,1097
38,1168
39,1100
40,1137
41,1127
42,975
43,1267
44,1118
45,1016
46,1119
47,993
48,1060
49,1109
50,1154
51,947
52,1140
53,1091
54,936
55,1078
56,1164
57,971
58,1046
59,1213
60,1017
61,1039
62,1097
63,1165
64,1181
65,1102
66,1028
67,1072
68,1180
69,1126
70,1086
71,1012
72,1174
73,1067
74,1082
75,993
76,1170
77,1039
78,988
79,1107
80,1080
81,1204
82,1101
83,1036
84,1137
85,1115
86,1114
87,1066
88,1118
89,986
90,1140
91,1050
92,1021
93,994
94,1120
95,1127
96,1015
97,1010
98,1124
99,990
100,938
