1,2420
2,1387
3,1227
4,1335
5,1162
6,1134
7,1237
8,1084
9,1135
10,1152
11,1020
12,1097
13,1222
14,1068
15,1215
16,1177
17,1035
18,1145
19,1115
20,1017
21,1191
22,1035
23,979
24,1151
25,1082
26,1028
27,1181
28,1003
29,1026
30,1142
31,1020
32,1047
33,1155
34,978
35,1068
36,1156
37,1023
38,1097
39,1103
40,966
41,1103
42,1072
43,1050
44,1088
45,1085
46,959
47,1182
48,1088
49,987
50,1100
51,1073
52,987
53,1204
54,1038
55,1038
56,1111
57,988
58,999
59,1125
60,965
61,1077
62,1125
63,964
64,1046
65,1141
66,995
67,1103
68,1050
69,1030
70,1066
71,1074
72,960
73,1085
74,1018
75,955
76,1103
77,1041
78,920
79,1135
80,987
81,1017
82,1142
83,998
84,1060
85,1220
86,962
87,1056
88,1132
89,1068
90,1026
91,1133
92,1033
93,1056
94,1133
95,1056
96,1055
97,1092
98,955
99,1119
100,1069
