1,4032
2,3102
3,2456
4,2321
5,2370
6,2719
7,2704
8,2404
9,2277
10,2226
11,2000
12,2402
13,2102
14,1971
15,2292
16,2106
17,1866
18,2177
19,1997
20,1918
21,2081
22,1936
23,2070
24,2097
25,1879
26,2040
27,2138
28,2066
29,1971
30,2109
31,1882
32,1919
33,2041
34,1974
35,1986
36,1867
37,2104
38,2074
39,2200
40,1964
41,2123
42,1856
43,1988
44,2116
45,2142
46,1954
47,1923
48,1920
49,2010
50,1910
51,1849
52,1976
53,2171
54,2042
55,1828
56,1894
57,2005
58,2051
59,1946
60,1877
61,1829
62,2138
63,2156
64,1816
65,1971
66,1970
67,2044
68,1930
69,1905
70,1956
71,1954
72,2036
73,2026
74,2008
75,1969
76,1964
77,1874
78,1801
79,1909
80,2011
81,1946
82,1946
83,1897
84,2136
85,1910
86,1826
87,1880
88,1878
89,2068
90,2009
91,1784
92,1872
93,1912
94,1992
95,1921
96,1796
97,1869
98,2093
99,1993
100,1918
