1,1325
2,944
3,852
4,741
5,871
6,807
7,671
8,758
9,820
10,843
11,691
12,801
13,782
14,740
15,766
16,650
17,773
18,603
19,836
20,699
21,775
22,833
23,691
24,722
25,668
26,724
27,855
28,637
29,672
30,815
31,571
32,633
33,791
34,613
35,633
36,775
37,596
38,670
39,749
40,657
41,684
42,691
43,776
44,771
45,745
46,788
47,776
48,697
49,889
50,612
51,713
52,925
53,832
54,916
55,842
56,814
57,838
58,624
59,631
60,843
61,635
62,616
63,690
64,806
65,732
66,587
67,762
68,640
69,636
70,701
71,751
72,717
73,758
74,817
75,653
76,694
77,692
78,739
79,711
80,652
81,762
82,720
83,702
84,704
85,678
86,694
87,710
88,648
89,658
90,688
91,704
92,693
93,740
94,642
95,615
96,797
97,563
98,757
99,661
100,760
