1,4278
2,2558
3,2273
4,2241
5,2246
6,2219
7,2314
8,2330
9,2152
10,2223
11,2274
12,2201
13,2231
14,2239
15,2157
16,2195
17,2337
18,2421
19,2318
20,2225
21,2286
22,2226
23,2302
24,2299
25,2246
26,2340
27,2374
28,2420
29,2428
30,2152
31,2137
32,2218
33,2152
34,2102
35,2186
36,2181
37,2450
38,2243
39,2256
40,2243
41,2306
42,2226
43,2232
44,2178
45,2165
46,2199
47,2181
48,2206
49,2209
50,2143
51,2166
52,2179
53,2183
54,2158
55,2151
56,2163
57,2233
58,2183
59,2134
60,2125
61,2149
62,2187
63,2218
64,2175
65,2240
66,2260
67,2201
68,2142
69,2282
70,2218
71,2230
72,2211
73,2260
74,2312
75,2282
76,2313
77,2214
78,2264
79,2222
80,2280
81,2261
82,2252
83,2222
84,2281
85,2251
86,2259
87,2212
88,2171
89,2258
90,2199
91,2293
92,2254
93,2212
94,2253
95,2262
96,2273
97,2215
98,2217
99,2262
100,2265
