1,1125
2,681
3,348
4,335
5,351
6,327
7,355
8,321
9,353
10,341
11,351
12,321
13,348
14,327
15,341
16,368
17,333
18,312
19,313
20,321
21,324
22,323
23,327
24,314
25,314
26,309
27,315
28,320
29,331
30,338
31,324
32,320
33,316
34,313
35,310
36,314
37,303
38,296
39,299
40,309
41,309
42,321
43,339
44,328
45,319
46,326
47,321
48,292
49,317
50,307
51,310
52,302
53,303
54,319
55,323
56,370
57,413
58,445
59,339
60,540
61,318
62,530
63,409
64,390
65,630
66,345
67,361
68,343
69,360
70,332
71,380
72,355
73,329
74,325
75,341
76,332
77,429
78,328
79,333
80,332
81,330
82,316
83,358
84,371
85,331
86,335
87,371
88,356
89,342
90,345
91,317
92,339
93,330
94,330
95,323
96,331
97,331
98,456
99,369
100,359
