1,1925
2,1136
3,931
4,915
5,883
6,847
7,866
8,851
9,822
10,957
11,842
12,901
13,852
14,855
15,835
16,822
17,917
18,818
19,868
20,821
21,870
22,785
23,837
24,869
25,817
26,901
27,854
28,855
29,1024
30,835
31,833
32,852
33,893
34,814
35,916
36,978
37,872
38,822
39,818
40,894
41,856
42,921
43,902
44,867
45,824
46,835
47,909
48,871
49,899
50,847
51,837
52,798
53,822
54,793
55,889
56,885
57,818
58,870
59,831
60,815
61,870
62,794
63,871
64,807
65,879
66,819
67,820
68,810
69,809
70,884
71,830
72,882
73,782
74,822
75,899
76,804
77,847
78,804
79,839
80,820
81,855
82,849
83,815
84,853
85,822
86,886
87,823
88,830
89,822
90,844
91,866
92,820
93,814
94,822
95,841
96,831
97,778
98,897
99,852
100,832
